area,Date,C_025,C_25,C_50,C_75,C_975,provenance
"North East and Yorkshire",2020-12-17, 2152.2, 2200.2, 2294.2, 2328.5, 2541.7,inferred
"North East and Yorkshire",2020-12-18, 2156.3, 2331.4, 2465.7, 2488.7, 2600.9,inferred
"North East and Yorkshire",2020-12-19, 2207.5, 2477.8, 2582.6, 2613.9, 2648.9,inferred
"North East and Yorkshire",2020-12-20, 2312.0, 2429.4, 2642.9, 2685.9, 2735.9,inferred
"North East and Yorkshire",2020-12-21, 2436.1, 2513.6, 2700.1, 2739.0, 2784.1,inferred
"North East and Yorkshire",2020-12-22, 2570.4, 2650.7, 2768.6, 2796.9, 2836.9,inferred
"North East and Yorkshire",2020-12-23, 2713.4, 2792.1, 2841.9, 2871.3, 2913.8,inferred
"North East and Yorkshire",2020-12-24, 2854.9, 2906.8, 2937.3, 2964.2, 3016.8,inferred
"North East and Yorkshire",2020-12-25, 2956.0, 3019.6, 3056.8, 3094.5, 3162.9,inferred
"North East and Yorkshire",2020-12-26, 3068.6, 3141.0, 3190.5, 3251.6, 3368.9,inferred
"North East and Yorkshire",2020-12-27, 3258.0, 3331.7, 3378.5, 3442.9, 3577.8,inferred
"North East and Yorkshire",2020-12-28, 3525.1, 3583.3, 3621.1, 3667.2, 3779.9,inferred
"North East and Yorkshire",2020-12-29, 3799.5, 3853.3, 3881.4, 3912.6, 3984.8,inferred
"North East and Yorkshire",2020-12-30, 4060.1, 4110.0, 4140.6, 4167.2, 4219.8,inferred
"North East and Yorkshire",2020-12-31, 4295.2, 4360.5, 4397.7, 4434.9, 4500.8,inferred
"North East and Yorkshire",2021-01-01, 4523.9, 4617.1, 4673.0, 4724.7, 4810.2,inferred
"North East and Yorkshire",2021-01-02, 4741.3, 4871.5, 4948.0, 5012.8, 5110.8,inferred
"North East and Yorkshire",2021-01-03, 4829.3, 4948.3, 5019.8, 5083.9, 5188.5,inferred
"North East and Yorkshire",2021-01-04, 4758.7, 4840.3, 4886.4, 4931.6, 5016.3,inferred
"North East and Yorkshire",2021-01-05, 4604.0, 4663.7, 4697.9, 4730.8, 4797.0,inferred
"North East and Yorkshire",2021-01-06, 4430.7, 4489.9, 4520.8, 4557.0, 4633.7,inferred
"North East and Yorkshire",2021-01-07, 4276.8, 4340.5, 4377.6, 4416.4, 4494.7,inferred
"North East and Yorkshire",2021-01-08, 4150.6, 4219.1, 4258.3, 4293.9, 4365.4,inferred
"North East and Yorkshire",2021-01-09, 4045.6, 4113.8, 4151.4, 4186.5, 4253.9,inferred
"North East and Yorkshire",2021-01-10, 3956.6, 4021.2, 4055.8, 4089.3, 4152.8,inferred
"North East and Yorkshire",2021-01-11, 3880.5, 3936.2, 3966.7, 3996.1, 4052.5,inferred
"North East and Yorkshire",2021-01-12, 3803.6, 3855.1, 3881.2, 3907.2, 3957.6,inferred
"North East and Yorkshire",2021-01-13, 3724.7, 3773.5, 3797.3, 3822.6, 3867.6,inferred
"North East and Yorkshire",2021-01-14, 3645.3, 3691.9, 3716.9, 3743.7, 3794.0,inferred
"North East and Yorkshire",2021-01-15, 3562.2, 3613.8, 3640.5, 3668.1, 3726.5,inferred
"North East and Yorkshire",2021-01-16, 3476.5, 3535.5, 3568.3, 3594.9, 3661.8,inferred
"North East and Yorkshire",2021-01-17, 3400.5, 3461.0, 3492.3, 3519.5, 3585.6,inferred
"North East and Yorkshire",2021-01-18, 3336.3, 3385.6, 3412.3, 3436.7, 3495.1,inferred
"North East and Yorkshire",2021-01-19, 3264.0, 3308.0, 3331.1, 3353.9, 3406.2,inferred
"North East and Yorkshire",2021-01-20, 3186.0, 3229.3, 3251.2, 3276.5, 3321.9,inferred
"North East and Yorkshire",2021-01-21, 3113.2, 3160.3, 3182.5, 3207.8, 3252.0,inferred
"North East and Yorkshire",2021-01-22, 3038.8, 3088.0, 3114.7, 3141.4, 3190.8,inferred
"North East and Yorkshire",2021-01-23, 2962.1, 3015.4, 3046.5, 3075.3, 3130.0,inferred
"North East and Yorkshire",2021-01-24, 2893.3, 2945.9, 2976.1, 3002.7, 3054.9,inferred
"North East and Yorkshire",2021-01-25, 2831.8, 2876.9, 2901.1, 2925.7, 2971.0,inferred
"North East and Yorkshire",2021-01-26, 2765.4, 2807.2, 2829.9, 2851.1, 2892.2,inferred
"North East and Yorkshire",2021-01-27, 2702.4, 2740.7, 2761.8, 2782.9, 2822.8,inferred
"North East and Yorkshire",2021-01-28, 2632.2, 2673.6, 2695.7, 2718.7, 2760.1,inferred
"North East and Yorkshire",2021-01-29, 2563.4, 2606.5, 2631.8, 2656.1, 2703.2,inferred
