area,Rt_lower,Rt_median,Rt_upper
"Merthyr Tydfil",0.71,1.05,1.4
"Monmouthshire",0.71,1.07,1.4
"Neath Port Talbot",0.70,1.05,1.4
"Newport",0.78,1.11,1.5
"Pembrokeshire",0.74,1.15,1.9
"Powys",0.68,1.05,1.4
"Rhondda Cynon Taf",0.75,1.06,1.4
"Swansea",0.75,1.09,1.6
"Torfaen",0.76,1.08,1.5
"Vale of Glamorgan",0.74,1.07,1.4
"Wrexham",1.08,1.40,2.1
"Ayrshire and Arran",0.73,1.06,1.5
"Borders",0.60,0.95,1.4
"Dumfries and Galloway",0.61,1.02,1.5
"Fife",0.59,0.92,1.3
"Forth Valley",0.44,0.90,1.3
"Grampian",0.51,0.89,1.3
"Greater Glasgow and Clyde",0.77,1.05,1.5
"Highland",0.54,0.97,1.7
"Lanarkshire",0.73,1.02,1.4
"Lothian",0.58,0.91,1.2
"Orkney",0.43,0.91,1.6
"Shetland",0.41,0.92,1.8
"Tayside",0.57,0.91,1.3
"Western Isles",0.47,0.96,1.7
