area,Date,C_025,C_25,C_50,C_75,C_975,provenance
"North East and Yorkshire",2020-11-15, 4501.3, 4501.3, 4501.3, 4501.3, 4501.3,inferred
"North East and Yorkshire",2020-11-16, 4372.0, 4372.0, 4372.0, 4372.0, 4372.0,inferred
"North East and Yorkshire",2020-11-17, 4167.7, 4167.7, 4167.7, 4167.8, 4167.8,inferred
"North East and Yorkshire",2020-11-18, 3880.8, 3882.1, 3882.8, 3883.5, 3884.9,inferred
"North East and Yorkshire",2020-11-19, 3555.0, 3560.4, 3563.6, 3566.8, 3573.1,inferred
"North East and Yorkshire",2020-11-20, 3243.8, 3255.8, 3263.1, 3270.7, 3284.7,inferred
"North East and Yorkshire",2020-11-21, 2974.7, 2995.1, 3006.6, 3018.6, 3042.5,inferred
"North East and Yorkshire",2020-11-22, 2751.5, 2778.7, 2793.7, 2811.4, 2842.9,inferred
"North East and Yorkshire",2020-11-23, 2563.0, 2595.8, 2614.9, 2636.4, 2674.3,inferred
"North East and Yorkshire",2020-11-24, 2399.0, 2436.3, 2459.7, 2484.3, 2528.5,inferred
"North East and Yorkshire",2020-11-25, 2260.4, 2300.7, 2325.7, 2351.5, 2399.2,inferred
"North East and Yorkshire",2020-11-26, 2154.7, 2196.1, 2220.1, 2247.4, 2294.5,inferred
"North East and Yorkshire",2020-11-27, 2085.9, 2123.9, 2147.3, 2171.2, 2211.5,inferred
"North East and Yorkshire",2020-11-28, 2040.8, 2074.2, 2094.0, 2114.3, 2149.2,inferred
"North East and Yorkshire",2020-11-29, 1997.6, 2030.9, 2048.6, 2067.4, 2098.9,inferred
"North East and Yorkshire",2020-11-30, 1947.0, 1984.6, 2002.2, 2020.5, 2054.9,inferred
"North East and Yorkshire",2020-12-01, 1889.7, 1932.1, 1951.4, 1970.8, 2009.9,inferred
"North East and Yorkshire",2020-12-02, 1836.4, 1881.7, 1903.7, 1924.0, 1966.4,inferred
"North East and Yorkshire",2020-12-03, 1810.1, 1852.6, 1874.2, 1894.8, 1937.0,inferred
"North East and Yorkshire",2020-12-04, 1813.3, 1850.4, 1868.9, 1888.2, 1928.2,inferred
"North East and Yorkshire",2020-12-05, 1831.7, 1865.4, 1882.4, 1900.0, 1932.9,inferred
"North East and Yorkshire",2020-12-06, 1856.7, 1887.1, 1903.2, 1919.7, 1950.4,inferred
"North East and Yorkshire",2020-12-07, 1872.6, 1905.8, 1923.4, 1939.4, 1969.7,inferred
"North East and Yorkshire",2020-12-08, 1881.6, 1919.9, 1939.4, 1958.4, 1992.9,inferred
"North East and Yorkshire",2020-12-09, 1893.0, 1932.5, 1953.5, 1976.2, 2014.0,inferred
"North East and Yorkshire",2020-12-10, 1914.5, 1953.7, 1976.4, 1998.2, 2037.8,inferred
"North East and Yorkshire",2020-12-11, 1952.1, 1989.7, 2011.4, 2030.0, 2069.5,inferred
"North East and Yorkshire",2020-12-12, 2003.0, 2035.7, 2054.7, 2071.9, 2105.7,inferred
"North East and Yorkshire",2020-12-13, 2048.2, 2082.2, 2100.8, 2118.4, 2153.4,inferred
"North East and Yorkshire",2020-12-14, 2092.5, 2130.0, 2147.0, 2166.1, 2202.1,inferred
"North East and Yorkshire",2020-12-15, 2134.1, 2175.7, 2194.3, 2216.0, 2253.8,inferred
"North East and Yorkshire",2020-12-16, 2172.1, 2218.0, 2241.4, 2265.8, 2309.4,inferred
"North East and Yorkshire",2020-12-17, 2212.0, 2261.4, 2285.8, 2310.0, 2356.6,inferred
"North East and Yorkshire",2020-12-18, 2257.9, 2304.1, 2327.1, 2350.3, 2393.3,inferred
"North East and Yorkshire",2020-12-19, 2307.4, 2345.1, 2366.2, 2390.7, 2426.1,inferred
"North East and Yorkshire",2020-12-20, 2347.8, 2387.1, 2405.8, 2427.0, 2460.6,inferred
"North East and Yorkshire",2020-12-21, 2385.8, 2424.9, 2447.8, 2469.1, 2505.7,inferred
"North East and Yorkshire",2020-12-22, 2417.4, 2465.2, 2492.5, 2513.4, 2557.8,inferred
"North East and Yorkshire",2020-12-23, 2470.9, 2525.4, 2556.9, 2582.1, 2633.1,inferred
"North East and Yorkshire",2020-12-24, 2598.2, 2653.4, 2684.1, 2712.3, 2764.8,inferred
"North East and Yorkshire",2020-12-25, 2820.9, 2867.5, 2896.3, 2923.8, 2972.1,inferred
"North East and Yorkshire",2020-12-26, 3108.7, 3150.6, 3176.9, 3202.2, 3245.9,inferred
"North East and Yorkshire",2020-12-27, 3431.4, 3473.3, 3497.3, 3519.9, 3564.4,inferred
"North East and Yorkshire",2020-12-28, 3765.1, 3813.0, 3838.2, 3864.4, 3907.8,inferred
"North East and Yorkshire",2020-12-29, 4107.1, 4158.9, 4190.7, 4221.6, 4274.9,inferred
"North East and Yorkshire",2020-12-30, 4421.9, 4482.4, 4519.1, 4556.4, 4626.1,inferred
"North East and Yorkshire",2020-12-31, 4639.8, 4701.1, 4738.4, 4778.1, 4856.6,inferred
"North East and Yorkshire",2021-01-01, 4713.0, 4777.9, 4815.2, 4851.5, 4924.1,inferred
"North East and Yorkshire",2021-01-02, 4690.9, 4753.0, 4784.4, 4815.3, 4878.5,inferred
"North East and Yorkshire",2021-01-03, 4623.2, 4683.9, 4711.3, 4738.6, 4792.2,inferred
"North East and Yorkshire",2021-01-04, 4557.5, 4612.6, 4641.7, 4669.5, 4715.9,inferred
"North East and Yorkshire",2021-01-05, 4500.3, 4562.1, 4594.5, 4627.1, 4676.6,inferred
"North East and Yorkshire",2021-01-06, 4450.3, 4520.3, 4557.9, 4595.0, 4657.7,inferred
"North East and Yorkshire",2021-01-07, 4380.2, 4453.9, 4492.9, 4533.5, 4594.3,inferred
"North East and Yorkshire",2021-01-08, 4279.4, 4344.9, 4379.2, 4419.6, 4474.4,inferred
"North East and Yorkshire",2021-01-09, 4152.5, 4204.9, 4232.1, 4265.1, 4316.3,inferred
"North East and Yorkshire",2021-01-10, 4005.3, 4050.8, 4075.9, 4103.1, 4152.4,inferred
"North East and Yorkshire",2021-01-11, 3852.0, 3901.8, 3928.0, 3956.8, 4002.3,inferred
"North East and Yorkshire",2021-01-12, 3715.4, 3768.5, 3797.3, 3828.0, 3880.3,inferred
"North East and Yorkshire",2021-01-13, 3596.9, 3655.0, 3686.7, 3720.1, 3775.8,inferred
"North East and Yorkshire",2021-01-14, 3511.2, 3570.6, 3604.0, 3636.1, 3693.9,inferred
"North East and Yorkshire",2021-01-15, 3457.4, 3514.4, 3546.2, 3573.0, 3629.6,inferred
"North East and Yorkshire",2021-01-16, 3426.0, 3473.2, 3503.6, 3528.1, 3574.9,inferred
"North East and Yorkshire",2021-01-17, 3396.3, 3441.4, 3466.8, 3488.5, 3531.0,inferred
"North East and Yorkshire",2021-01-18, 3355.6, 3403.8, 3428.7, 3453.1, 3497.4,inferred
"North East and Yorkshire",2021-01-19, 3306.2, 3360.5, 3389.3, 3414.0, 3463.8,inferred
"North East and Yorkshire",2021-01-20, 3252.9, 3311.0, 3342.0, 3367.7, 3427.1,inferred
"North East and Yorkshire",2021-01-21, 3184.9, 3245.9, 3275.9, 3305.6, 3368.5,inferred
"North East and Yorkshire",2021-01-22, 3107.4, 3163.9, 3190.8, 3217.7, 3278.0,inferred
"North East and Yorkshire",2021-01-23, 3023.3, 3070.6, 3094.9, 3118.3, 3172.7,inferred
"North East and Yorkshire",2021-01-24, 2938.3, 2976.9, 2997.5, 3018.1, 3064.8,inferred
"North East and Yorkshire",2021-01-25, 2846.9, 2886.3, 2906.9, 2928.7, 2970.6,inferred
"North East and Yorkshire",2021-01-26, 2756.5, 2802.5, 2824.9, 2847.7, 2894.6,inferred
"North East and Yorkshire",2021-01-27, 2678.2, 2727.4, 2750.6, 2776.0, 2823.2,inferred
"North East and Yorkshire",2021-01-28, 2611.2, 2657.6, 2683.3, 2711.2, 2755.9,inferred
"North East and Yorkshire",2021-01-29, 2553.8, 2597.1, 2622.4, 2647.6, 2689.5,inferred
"North East and Yorkshire",2021-01-30, 2505.1, 2539.8, 2563.6, 2585.6, 2625.0,inferred
"North East and Yorkshire",2021-01-31, 2449.6, 2485.2, 2507.4, 2524.6, 2564.1,inferred
"North East and Yorkshire",2021-02-01, 2391.9, 2429.5, 2452.2, 2469.2, 2515.7,inferred
"North East and Yorkshire",2021-02-02, 2331.9, 2375.7, 2399.2, 2419.5, 2470.0,inferred
"North East and Yorkshire",2021-02-03, 2273.9, 2323.3, 2348.3, 2370.3, 2424.3,inferred
"North East and Yorkshire",2021-02-04, 2222.8, 2273.5, 2298.1, 2320.3, 2377.6,inferred
"North East and Yorkshire",2021-02-05, 2179.5, 2224.0, 2246.0, 2266.4, 2317.8,inferred
"North East and Yorkshire",2021-02-06, 2135.1, 2175.1, 2192.5, 2212.1, 2256.7,inferred
"North East and Yorkshire",2021-02-07, 2088.7, 2125.7, 2141.3, 2159.7, 2198.3,inferred
"North East and Yorkshire",2021-02-08, 2038.4, 2073.8, 2092.1, 2110.9, 2146.9,inferred
"North East and Yorkshire",2021-02-09, 1985.5, 2025.4, 2044.6, 2064.7, 2105.7,inferred
"North East and Yorkshire",2021-02-10, 1939.6, 1981.0, 2002.8, 2025.0, 2069.4,inferred
"North East and Yorkshire",2021-02-11, 1907.0, 1949.0, 1969.6, 1992.8, 2039.2,inferred
"North East and Yorkshire",2021-02-12, 1889.1, 1928.1, 1948.2, 1969.0, 2014.8,inferred
"North East and Yorkshire",2021-02-13, 1885.2, 1916.2, 1934.6, 1951.3, 1990.3,inferred
"North East and Yorkshire",2021-02-14, 1875.0, 1905.8, 1921.5, 1938.6, 1971.7,inferred
"North East and Yorkshire",2021-02-15, 1858.4, 1892.6, 1909.1, 1928.5, 1959.4,inferred
"North East and Yorkshire",2021-02-16, 1842.7, 1876.5, 1896.2, 1918.4, 1951.6,inferred
"North East and Yorkshire",2021-02-17, 1816.4, 1854.4, 1877.1, 1901.0, 1935.8,inferred
"North East and Yorkshire",2021-02-18, 1781.4, 1818.9, 1841.7, 1865.7, 1902.5,inferred
"North East and Yorkshire",2021-02-19, 1732.9, 1766.6, 1786.6, 1809.4, 1842.6,inferred
"North East and Yorkshire",2021-02-20, 1674.9, 1703.3, 1720.7, 1739.6, 1770.8,inferred
"North East and Yorkshire",2021-02-21, 1609.0, 1634.5, 1650.1, 1668.0, 1698.9,inferred
"North East and Yorkshire",2021-02-22, 1540.2, 1567.6, 1584.8, 1601.6, 1630.0,inferred
"North East and Yorkshire",2021-02-23, 1476.3, 1507.0, 1524.8, 1545.0, 1573.5,inferred
"North East and Yorkshire",2021-02-24, 1416.2, 1451.3, 1471.7, 1493.0, 1528.4,inferred
"North East and Yorkshire",2021-02-25, 1363.2, 1402.9, 1424.2, 1446.8, 1487.8,inferred
"North East and Yorkshire",2021-02-26, 1312.8, 1355.9, 1378.7, 1405.6, 1451.9,inferred
"North East and Yorkshire",2021-02-27, 1258.0, 1311.8, 1337.3, 1366.6, 1423.9,inferred
"North West",2020-11-15, 2827.9, 2827.9, 2827.9, 2827.9, 2827.9,inferred
"North West",2020-11-16, 2721.7, 2721.7, 2721.7, 2721.7, 2721.7,inferred
"North West",2020-11-17, 2583.7, 2583.7, 2583.8, 2583.8, 2583.8,inferred
"North West",2020-11-18, 2406.6, 2407.7, 2408.2, 2408.8, 2409.8,inferred
"North West",2020-11-19, 2216.0, 2220.7, 2223.2, 2225.7, 2230.3,inferred
"North West",2020-11-20, 2042.8, 2053.5, 2059.0, 2065.2, 2075.2,inferred
"North West",2020-11-21, 1899.4, 1917.1, 1926.2, 1936.1, 1953.0,inferred
"North West",2020-11-22, 1781.4, 1807.5, 1819.8, 1832.5, 1856.0,inferred
"North West",2020-11-23, 1682.8, 1714.2, 1729.8, 1745.4, 1773.3,inferred
"North West",2020-11-24, 1596.9, 1629.8, 1648.7, 1666.4, 1700.7,inferred
"North West",2020-11-25, 1519.4, 1555.8, 1575.8, 1595.7, 1631.2,inferred
"North West",2020-11-26, 1464.0, 1499.5, 1519.2, 1539.4, 1574.6,inferred
"North West",2020-11-27, 1430.0, 1463.5, 1480.5, 1498.4, 1534.0,inferred
"North West",2020-11-28, 1413.0, 1440.4, 1455.0, 1470.3, 1502.5,inferred
"North West",2020-11-29, 1394.0, 1419.6, 1434.4, 1448.3, 1478.9,inferred
"North West",2020-11-30, 1372.4, 1398.8, 1412.6, 1426.0, 1454.1,inferred
"North West",2020-12-01, 1342.2, 1373.0, 1388.2, 1402.5, 1431.6,inferred
"North West",2020-12-02, 1313.5, 1347.3, 1365.3, 1380.1, 1411.1,inferred
"North West",2020-12-03, 1303.5, 1336.6, 1354.3, 1368.8, 1401.4,inferred
"North West",2020-12-04, 1312.6, 1342.8, 1360.3, 1373.7, 1404.6,inferred
"North West",2020-12-05, 1334.7, 1362.9, 1376.7, 1390.8, 1418.1,inferred
"North West",2020-12-06, 1358.6, 1384.6, 1398.1, 1414.3, 1439.4,inferred
"North West",2020-12-07, 1377.7, 1406.1, 1420.1, 1436.2, 1462.1,inferred
"North West",2020-12-08, 1391.9, 1423.2, 1440.8, 1457.4, 1488.4,inferred
"North West",2020-12-09, 1406.0, 1442.1, 1462.5, 1479.6, 1515.6,inferred
"North West",2020-12-10, 1435.0, 1473.7, 1492.3, 1510.6, 1548.0,inferred
"North West",2020-12-11, 1483.3, 1519.8, 1538.1, 1554.8, 1589.1,inferred
"North West",2020-12-12, 1543.3, 1575.9, 1593.3, 1607.7, 1637.9,inferred
"North West",2020-12-13, 1604.8, 1635.7, 1652.4, 1668.3, 1699.7,inferred
"North West",2020-12-14, 1665.6, 1695.8, 1714.0, 1731.6, 1764.4,inferred
"North West",2020-12-15, 1724.2, 1756.9, 1775.8, 1796.2, 1830.9,inferred
"North West",2020-12-16, 1778.3, 1814.9, 1835.8, 1858.9, 1899.5,inferred
"North West",2020-12-17, 1827.1, 1868.6, 1889.4, 1914.2, 1955.8,inferred
"North West",2020-12-18, 1872.7, 1914.6, 1935.4, 1956.7, 1999.9,inferred
"North West",2020-12-19, 1918.1, 1955.5, 1973.3, 1991.7, 2031.7,inferred
"North West",2020-12-20, 1956.6, 1992.5, 2009.0, 2025.8, 2060.8,inferred
"North West",2020-12-21, 1989.1, 2025.9, 2045.2, 2065.0, 2101.8,inferred
"North West",2020-12-22, 2021.4, 2060.9, 2083.9, 2106.0, 2146.3,inferred
"North West",2020-12-23, 2081.1, 2123.8, 2148.4, 2173.5, 2220.7,inferred
"North West",2020-12-24, 2223.0, 2267.9, 2293.8, 2320.3, 2370.4,inferred
"North West",2020-12-25, 2477.7, 2521.2, 2546.4, 2571.9, 2619.7,inferred
"North West",2020-12-26, 2821.3, 2864.1, 2888.5, 2909.6, 2957.9,inferred
"North West",2020-12-27, 3227.0, 3266.0, 3289.6, 3309.5, 3355.5,inferred
"North West",2020-12-28, 3658.4, 3703.4, 3727.6, 3752.6, 3799.8,inferred
"North West",2020-12-29, 4116.8, 4173.1, 4203.0, 4233.5, 4294.5,inferred
"North West",2020-12-30, 4573.4, 4641.9, 4680.4, 4716.5, 4786.3,inferred
"North West",2020-12-31, 4948.0, 5028.1, 5069.8, 5110.4, 5192.3,inferred
"North West",2021-01-01, 5214.1, 5291.0, 5329.7, 5370.9, 5453.7,inferred
"North West",2021-01-02, 5397.6, 5459.0, 5496.8, 5536.8, 5607.1,inferred
"North West",2021-01-03, 5541.7, 5598.7, 5633.7, 5669.7, 5734.3,inferred
"North West",2021-01-04, 5688.3, 5752.5, 5784.9, 5818.3, 5882.7,inferred
"North West",2021-01-05, 5854.0, 5926.3, 5966.6, 6007.5, 6081.7,inferred
"North West",2021-01-06, 6011.9, 6093.3, 6139.1, 6187.1, 6272.4,inferred
"North West",2021-01-07, 6066.5, 6154.6, 6202.6, 6253.8, 6343.5,inferred
"North West",2021-01-08, 5986.5, 6069.8, 6110.5, 6159.5, 6245.8,inferred
"North West",2021-01-09, 5799.1, 5872.1, 5907.1, 5947.0, 6022.1,inferred
"North West",2021-01-10, 5565.1, 5627.6, 5662.0, 5693.6, 5755.1,inferred
"North West",2021-01-11, 5325.8, 5392.1, 5425.6, 5456.7, 5516.5,inferred
"North West",2021-01-12, 5115.2, 5187.4, 5222.3, 5257.2, 5323.6,inferred
"North West",2021-01-13, 4929.4, 5009.2, 5045.9, 5085.8, 5158.5,inferred
"North West",2021-01-14, 4761.9, 4839.4, 4876.7, 4917.2, 4990.7,inferred
"North West",2021-01-15, 4598.9, 4664.3, 4697.5, 4735.6, 4799.5,inferred
"North West",2021-01-16, 4428.4, 4483.8, 4511.9, 4544.2, 4603.2,inferred
"North West",2021-01-17, 4250.5, 4301.8, 4330.5, 4357.8, 4407.3,inferred
