area,Date,C_025,C_25,C_50,C_75,C_975,provenance
"North East and Yorkshire",2021-02-28,1199.2,1263.4,1299.7,1335.1,1412.2,projected
"North East and Yorkshire",2021-03-01,1139.1,1217.4,1261.5,1305.9,1401.5,projected
"North East and Yorkshire",2021-03-02,1086.7,1174.3,1226.3,1280.2,1394.2,projected
"North East and Yorkshire",2021-03-03,1038.2,1134.7,1194.0,1254.1,1386.3,projected
"North East and Yorkshire",2021-03-04, 997.3,1098.8,1164.0,1231.5,1380.2,projected
"North East and Yorkshire",2021-03-05, 959.6,1071.6,1140.7,1214.1,1373.9,projected
"North East and Yorkshire",2021-03-06, 924.8,1044.4,1118.1,1198.0,1376.6,projected
"North East and Yorkshire",2021-03-07, 890.0,1019.5,1099.6,1184.8,1392.6,projected
"North East and Yorkshire",2021-03-08, 856.3, 991.7,1079.2,1181.3,1405.0,projected
"North East and Yorkshire",2021-03-09, 818.9, 970.9,1062.3,1176.6,1414.7,projected
"North East and Yorkshire",2021-03-10, 792.5, 951.1,1046.6,1172.7,1440.5,projected
"North East and Yorkshire",2021-03-11, 761.6, 931.8,1037.2,1170.3,1467.4,projected
"North East and Yorkshire",2021-03-12, 733.8, 912.7,1027.4,1170.1,1496.5,projected
"North East and Yorkshire",2021-03-13, 710.7, 898.2,1021.5,1178.0,1538.8,projected
"North East and Yorkshire",2021-03-14, 688.3, 886.7,1018.5,1192.0,1577.9,projected
"North East and Yorkshire",2021-03-15, 668.3, 874.8,1014.4,1207.6,1632.9,projected
"North East and Yorkshire",2021-03-16, 647.9, 864.4,1018.1,1220.6,1705.8,projected
"North East and Yorkshire",2021-03-17, 629.7, 853.3,1016.4,1238.6,1782.8,projected
"North East and Yorkshire",2021-03-18, 615.3, 845.3,1021.8,1256.6,1873.3,projected
"North East and Yorkshire",2021-03-19, 605.5, 840.2,1028.7,1283.0,1973.4,projected
"North East and Yorkshire",2021-03-20, 595.0, 839.5,1033.9,1309.2,2067.1,projected
"North West",2021-02-28, 846.8, 896.3, 923.7, 953.5,1007.5,projected
"North West",2021-03-01, 781.9, 841.7, 872.4, 907.3, 972.2,projected
"North West",2021-03-02, 724.8, 792.2, 827.1, 864.2, 942.4,projected
"North West",2021-03-03, 672.7, 745.9, 785.1, 825.4, 913.7,projected
"North West",2021-03-04, 627.2, 705.1, 746.0, 792.0, 884.5,projected
"North West",2021-03-05, 587.7, 668.0, 713.5, 760.1, 860.2,projected
"North West",2021-03-06, 554.5, 634.2, 682.6, 733.4, 850.3,projected
"North West",2021-03-07, 524.0, 603.2, 653.6, 705.9, 839.6,projected
"North West",2021-03-08, 488.2, 573.1, 625.8, 682.0, 826.0,projected
"North West",2021-03-09, 455.1, 543.9, 598.7, 660.1, 813.6,projected
"North West",2021-03-10, 423.3, 516.4, 573.7, 641.1, 804.4,projected
"North West",2021-03-11, 397.0, 492.8, 552.5, 621.7, 795.4,projected
"North West",2021-03-12, 374.9, 469.8, 534.9, 603.1, 789.4,projected
"North West",2021-03-13, 351.4, 449.1, 520.0, 586.4, 788.9,projected
"North West",2021-03-14, 330.2, 430.0, 505.1, 573.4, 782.0,projected
"North West",2021-03-15, 307.2, 412.3, 489.6, 560.9, 779.9,projected
"North West",2021-03-16, 288.3, 395.0, 472.3, 548.8, 777.3,projected
"North West",2021-03-17, 271.0, 379.6, 459.1, 536.9, 776.6,projected
"North West",2021-03-18, 253.3, 364.5, 446.8, 527.5, 772.6,projected
