area,Date,Rt_025,Rt_05,Rt_10,Rt_20,Rt_25,Rt_30,Rt_40,Rt_50,Rt_60,Rt_70,Rt_75,Rt_80,Rt_90,Rt_95,Rt_975,provenance
"North East and Yorkshire",2021-01-03,0.97,0.97,0.98,0.99,0.99,1.00,1.00,1.00,1.01,1.01,1.01,1.02,1.02,1.03,1.04,inferred
"North East and Yorkshire",2021-01-04,0.77,0.77,0.78,0.78,0.79,0.79,0.79,0.80,0.80,0.80,0.81,0.81,0.82,0.82,0.83,inferred
"North East and Yorkshire",2021-01-05,0.77,0.77,0.78,0.78,0.79,0.79,0.79,0.80,0.80,0.80,0.81,0.81,0.82,0.82,0.83,inferred
"North East and Yorkshire",2021-01-06,0.77,0.77,0.78,0.78,0.79,0.79,0.79,0.80,0.80,0.80,0.81,0.81,0.82,0.82,0.83,inferred
"North East and Yorkshire",2021-01-07,0.77,0.77,0.78,0.78,0.79,0.79,0.79,0.80,0.80,0.80,0.81,0.81,0.82,0.82,0.83,inferred
"North East and Yorkshire",2021-01-08,0.77,0.77,0.78,0.78,0.79,0.79,0.79,0.80,0.80,0.80,0.81,0.81,0.82,0.82,0.83,inferred
"North East and Yorkshire",2021-01-09,0.77,0.77,0.78,0.78,0.79,0.79,0.79,0.80,0.80,0.80,0.81,0.81,0.82,0.82,0.83,inferred
"North East and Yorkshire",2021-01-10,0.77,0.77,0.78,0.78,0.79,0.79,0.79,0.80,0.80,0.80,0.81,0.81,0.82,0.82,0.83,inferred
"North East and Yorkshire",2021-01-11,0.88,0.88,0.88,0.89,0.89,0.90,0.90,0.90,0.91,0.91,0.91,0.91,0.92,0.93,0.94,inferred
"North East and Yorkshire",2021-01-12,0.88,0.88,0.88,0.89,0.89,0.90,0.90,0.90,0.91,0.91,0.91,0.91,0.92,0.93,0.94,inferred
"North East and Yorkshire",2021-01-13,0.88,0.88,0.88,0.89,0.89,0.90,0.90,0.90,0.91,0.91,0.91,0.91,0.92,0.93,0.94,inferred
"North East and Yorkshire",2021-01-14,0.88,0.88,0.88,0.89,0.89,0.90,0.90,0.90,0.91,0.91,0.91,0.91,0.92,0.93,0.94,inferred
"North East and Yorkshire",2021-01-15,0.88,0.88,0.88,0.89,0.89,0.90,0.90,0.90,0.91,0.91,0.91,0.91,0.92,0.93,0.94,inferred
"North East and Yorkshire",2021-01-16,0.88,0.88,0.88,0.89,0.89,0.90,0.90,0.90,0.91,0.91,0.91,0.91,0.92,0.93,0.94,inferred
"North East and Yorkshire",2021-01-17,0.88,0.88,0.88,0.89,0.89,0.90,0.90,0.90,0.91,0.91,0.91,0.91,0.92,0.93,0.94,inferred
"North East and Yorkshire",2021-01-18,0.79,0.79,0.80,0.81,0.81,0.81,0.82,0.82,0.83,0.83,0.83,0.84,0.84,0.85,0.85,inferred
"North East and Yorkshire",2021-01-19,0.79,0.79,0.80,0.81,0.81,0.81,0.82,0.82,0.83,0.83,0.83,0.84,0.84,0.85,0.85,inferred
"North East and Yorkshire",2021-01-20,0.79,0.79,0.80,0.81,0.81,0.81,0.82,0.82,0.83,0.83,0.83,0.84,0.84,0.85,0.85,inferred
"North East and Yorkshire",2021-01-21,0.79,0.79,0.80,0.81,0.81,0.81,0.82,0.82,0.83,0.83,0.83,0.84,0.84,0.85,0.85,inferred
"North East and Yorkshire",2021-01-22,0.79,0.79,0.80,0.81,0.81,0.81,0.82,0.82,0.83,0.83,0.83,0.84,0.84,0.85,0.85,inferred
"North East and Yorkshire",2021-01-23,0.79,0.79,0.80,0.81,0.81,0.81,0.82,0.82,0.83,0.83,0.83,0.84,0.84,0.85,0.85,inferred
"North East and Yorkshire",2021-01-24,0.79,0.79,0.80,0.81,0.81,0.81,0.82,0.82,0.83,0.83,0.83,0.84,0.84,0.85,0.85,inferred
"North East and Yorkshire",2021-01-25,0.82,0.82,0.82,0.83,0.84,0.84,0.84,0.84,0.85,0.85,0.86,0.86,0.87,0.88,0.88,inferred
"North East and Yorkshire",2021-01-26,0.82,0.82,0.82,0.83,0.84,0.84,0.84,0.84,0.85,0.85,0.86,0.86,0.87,0.88,0.88,inferred
"North East and Yorkshire",2021-01-27,0.82,0.82,0.82,0.83,0.84,0.84,0.84,0.84,0.85,0.85,0.86,0.86,0.87,0.88,0.88,inferred
"North East and Yorkshire",2021-01-28,0.82,0.82,0.82,0.83,0.84,0.84,0.84,0.84,0.85,0.85,0.86,0.86,0.87,0.88,0.88,inferred
"North East and Yorkshire",2021-01-29,0.82,0.82,0.82,0.83,0.84,0.84,0.84,0.84,0.85,0.85,0.86,0.86,0.87,0.88,0.88,inferred
"North East and Yorkshire",2021-01-30,0.82,0.82,0.82,0.83,0.84,0.84,0.84,0.84,0.85,0.85,0.86,0.86,0.87,0.88,0.88,inferred
"North East and Yorkshire",2021-01-31,0.82,0.82,0.82,0.83,0.84,0.84,0.84,0.84,0.85,0.85,0.86,0.86,0.87,0.88,0.88,inferred
"North East and Yorkshire",2021-02-01,0.82,0.83,0.84,0.85,0.85,0.85,0.85,0.86,0.86,0.87,0.87,0.88,0.88,0.89,0.90,inferred
"North East and Yorkshire",2021-02-02,0.82,0.83,0.84,0.85,0.85,0.85,0.85,0.86,0.86,0.87,0.87,0.88,0.88,0.89,0.90,inferred
"North East and Yorkshire",2021-02-03,0.82,0.83,0.84,0.85,0.85,0.85,0.85,0.86,0.86,0.87,0.87,0.88,0.88,0.89,0.90,inferred
"North East and Yorkshire",2021-02-04,0.82,0.83,0.84,0.85,0.85,0.85,0.85,0.86,0.86,0.87,0.87,0.88,0.88,0.89,0.90,inferred
"North East and Yorkshire",2021-02-05,0.82,0.83,0.84,0.85,0.85,0.85,0.85,0.86,0.86,0.87,0.87,0.88,0.88,0.89,0.90,inferred
"North East and Yorkshire",2021-02-06,0.82,0.83,0.84,0.85,0.85,0.85,0.85,0.86,0.86,0.87,0.87,0.88,0.88,0.89,0.90,inferred
